Temperature_Class,Temperature_Code,0.0,1.0,1.5,2.0,2.5,3.0,3.5,4.0,5.0
O6,3.0,,t030l10p00.rbn,,,,t030l30p00.rbn,,,t030l50p00.rbn
O7,4.0,,,,,,t040l30p00.rbn,,,t040l50p00.rbn
O8,5.0,,,,,,t050l30p00.rbn,,,t050l50p00.rbn
O9,6.0,,,,,,t060l30p00.rbn,,,t060l50p00.rbn
B0,7.0,t070l00p00.rbn,t070l10p00.rbn,,,,t070l30p00.rbn,,,t070l50p00.rbn
B1,7.7,,,,,,t077l30p00.rbn,,,
B1,8.0,,t080l10p00.rbn,,,,t080l30p00.rbn,,,t080l50p00.rbn
B1.5,8.5,t085l00p00.rbn,,,,,,,,
B2,9.0,t090l00p00.rbn,t090l10p00.rbn,,,,t090l30p00.rbn,,t090l40p00.rbn,t090l50p00.rbn
B3,10.0,,t100l10p00.rbn,,,,t100l30p00.rbn,,,t100l50p00.rbn
B5,12.0,t120l00p00.rbn,t120l10p00.rbn,,,,t120l30p00.rbn,,,t120l50p00.rbn
B7,13.0,t130l00p00.rbn,t130l10p00.rbn,,,,t130l30p00.rbn,,,t130l50p00.rbn
B8,14.0,t140l00p00.rbn,t140l10p00.rbn,,,,t140l30p00.rbn,,,t140l50p00.rbn
B9,15.0,t150l00p00.rbn,t150l10p00.rbn,,,,t150l30p00.rbn,,t150l40p00.rbn,t150l50p00.rbn
A0,16.0,t160l00p00.rbn,t160l10p00.rbn,,,,t160l30p00.rbn,,,t160l50p00.rbn
A1,17.0,,t170l10p00.rbn,,,,t170l30p00.rbn,,,t170l50p00.rbn
A3,19.0,,t190l10p00.rbn,,,,t190l30p00.rbn,,t190l40p00.rbn,t190l50p00.rbn
A5,20.0,t200l00p00.rbn,t200l10p00.rbn,,t200l20p00.rbn,,t200l30p00.rbn,,t200l40p00.rbn,t200l50p00.rbn
A7,21.0,,t210l10p00.rbn,,,,t210l30p00.rbn,,,t210l50p00.rbn
F0,23.0,t230l00p00.rbn,t230l10p00.rbn,,,,t230l30p00.rbn,,,t230l50p00.rbn
F1,23.5,,,,t235l20p00.rbn,,,,,
F2,24.0,t240l00p00.rbn,t240l10p00.rbn,,,,t240l30p00.rbn,,,t240l50p00.rbn
F3,25.0,,t250l10p00.rbn,,,,t250l30p00.rbn,,,t250l50p00.rbn
F5,26.0,t260l00p00.rbn,t260l10p00.rbn,,,t260l25p00.rbn,t260l30p00.rbn,,,t260l50p00.rbn
F6,27.0,,t270l10p00.rbn,,,,t270l30p00.rbn,,,t270l50p00.rbn
F8,28.0,t280l00p00.rbn,t280l10p00.rbn,,,,t280l30p00.rbn,,,t280l50p00.rbn
F9,29.0,,t290l10p00.rbn,,,,t290l30p00.rbn,,,t290l50p00.rbn
G0,30.0,,t300l10p00.rbn,,,,t300l30p00.rbn,,t300l40p00.rbn,t300l50p00.rbn
G2,31.0,,t310l10p00.rbn,,,,t310l30p00.rbn,,,t310l50p00.rbn
G5,32.0,,t320l10p00.rbn,,,,t320l30p00.rbn,,t320l40p00.rbn,t320l50p00.rbn
G8,33.0,,t330l10p00.rbn,,,,t330l30p00.rbn,,t330l40p00.rbn,t330l50p00.rbn
K0,34.0,,t340l10p00.rbn,,,,t340l30p00.rbn,,t340l40p00.rbn,t340l50p00.rbn
K1,35.0,,,,,,,t350l35p00.rbn,,
K2,36.0,,t360l10p00.rbn,t360l15p00.rbn,,,t360l30p00.rbn,,,t360l50p00.rbn
K3,37.0,,t370l10p00.rbn,,,,t370l30p00.rbn,,,t370l50p00.rbn
K4.5,38.5,,t385l10p00.rbn,,,,,,,
K5,39.0,,t390l10p00.rbn,,,,t390l30p00.rbn,,,t390l50p00.rbn
K7,40.0,,t400l10p00.rbn,,,,t400l30p00.rbn,,,t400l50p00.rbn
M0,40.7,,t407l10p00.rbn,,,,t407l30p00.rbn,,,t407l50p00.rbn
M0.5,41.0,,,,,,,,,t410l50p00.rbn
M2,42.5,t425l00p00.rbn,t425l10p00.rbn,,,,t425l30p00.rbn,,,t425l50p00.rbn
M2+,42.7,,,,,,t427l30p00.rbn,,,
M3.5,44.0,,t440l10p00.rbn,,,,t440l30p00.rbn,,,t440l50p00.rbn
M4,44.5,,,,,,t445l30p00.rbn,,,
M5,45.5,,t455l10p00.rbn,,,,t455l30p00.rbn,,,t455l50p00.rbn
M7,47.4,,,,,,t474l30p00.rbn,,,
M9,49.5,,,,,,t495l30p00.rbn,,,
